name,     lon,            lat
152,    -7.25230E+01,    3.77890E+01
153,    -7.50870E+01,    3.42690E+01
154,    -8.09650E+01,    3.43230E+01
155,    -8.20320E+01,    3.50790E+01
156,    -8.34090E+01,    3.75970E+01
157,    -7.29180E+01,    4.00770E+01
158,    -7.34000E+01,    3.53160E+01
159,    -7.79970E+01,    3.33990E+01
160,    -8.27780E+01,    3.55870E+01
161,    -8.36010E+01,    3.73720E+01
162,    -7.81260E+01,    4.24070E+01
163,    -7.63740E+01,    4.24250E+01
164,    -7.38040E+01,    4.13010E+01
165,    -8.37840E+01,    3.71580E+01
166,    -8.26970E+01,    4.08230E+01
167,    -7.88420E+01,    4.25410E+01
168,    -7.83280E+01,    4.25800E+01
169,    -7.64370E+01,    4.26230E+01
170,    -7.20070E+01,    3.92140E+01
171,    -7.19170E+01,    3.88740E+01
172,    -7.30800E+01,    3.50650E+01
173,    -8.23730E+01,    3.45880E+01
174,    -8.25090E+01,    4.12770E+01
175,    -7.51150E+01,    4.24470E+01
176,    -7.21670E+01,    3.59710E+01
177,    -8.06730E+01,    3.33630E+01
178,    -8.20910E+01,    3.41230E+01
179,    -8.15630E+01,    4.21280E+01
180,    -8.02710E+01,    4.26320E+01
181,    -7.79790E+01,    3.78150E+01
182,    -7.76240E+01,    3.74130E+01
183,    -7.80880E+01,    3.78960E+01
184,    -7.80520E+01,    3.79720E+01
185,    -7.75860E+01,    3.85040E+01
186,    -7.78620E+01,    3.79120E+01
187,    -7.77490E+01,    3.78880E+01
188,    -7.79010E+01,    3.77350E+01
189,    -7.79400E+01,    3.77270E+01
190,    -7.80110E+01,    3.77270E+01
191,    -7.79960E+01,    3.80850E+01
192,    -7.77920E+01,    3.80120E+01
193,    -7.76480E+01,    3.78300E+01
194,    -7.77170E+01,    3.77290E+01
195,    -7.77770E+01,    3.76850E+01
196,    -7.79920E+01,    3.76350E+01
197,    -7.82020E+01,    3.81070E+01
198,    -7.80020E+01,    3.81750E+01
199,    -7.79140E+01,    3.75480E+01
200,    -7.81130E+01,    3.75620E+01
201,    -7.84160E+01,    3.79950E+01
202,    -7.82810E+01,    3.81720E+01
203,    -7.81430E+01,    3.82400E+01
204,    -7.79270E+01,    3.82630E+01
205,    -7.74900E+01,    3.76720E+01
206,    -7.81880E+01,    3.74880E+01
207,    -7.83220E+01,    3.75490E+01
208,    -7.84920E+01,    3.77190E+01
209,    -7.83370E+01,    3.82530E+01
210,    -7.79430E+01,    3.83550E+01
211,    -7.73440E+01,    3.81110E+01
212,    -7.73050E+01,    3.78060E+01
213,    -7.79500E+01,    3.73650E+01
214,    -7.79830E+01,    3.73650E+01
215,    -7.82250E+01,    3.74020E+01
216,    -7.84820E+01,    3.82680E+01
217,    -7.87600E+01,    3.88700E+01
218,    -7.88600E+01,    3.84800E+01
219,    -7.85400E+01,    3.86500E+01
220,    -7.88100E+01,    3.81600E+01
221,    -7.86600E+01,    3.78000E+01
222,    -7.88800E+01,    3.73300E+01
223,    -7.86100E+01,    3.73800E+01
224,    -7.84900E+01,    3.75000E+01
225,    -7.85500E+01,    3.71400E+01
226,    -7.81900E+01,    3.88200E+01
227,    -7.79800E+01,    3.87500E+01
228,    -7.80700E+01,    3.86100E+01
229,    -7.82400E+01,    3.84400E+01
230,    -7.83500E+01,    3.79000E+01
231,    -7.82800E+01,    3.77100E+01
232,    -7.82800E+01,    3.72500E+01
233,    -7.83700E+01,    3.70700E+01
234,    -7.81400E+01,    3.71200E+01
235,    -7.78900E+01,    3.71500E+01
236,    -7.77400E+01,    3.88200E+01
237,    -7.74900E+01,    3.89300E+01
238,    -7.73100E+01,    3.89100E+01
239,    -7.77600E+01,    3.85500E+01
240,    -7.76900E+01,    3.83300E+01
241,    -7.73700E+01,    3.84200E+01
242,    -7.74900E+01,    3.82300E+01
243,    -7.75100E+01,    3.79700E+01
244,    -7.77800E+01,    3.75100E+01
245,    -7.75300E+01,    3.71700E+01
246,    -7.73200E+01,    3.87200E+01
247,    -7.71600E+01,    3.85100E+01
248,    -7.71700E+01,    3.75800E+01
249,    -7.75900E+01,    3.87700E+01
250,    -7.87500E+01,    3.70200E+01
251,    -8.05600E+01,    4.00500E+01
252,    -7.94300E+01,    3.90500E+01
253,    -8.06300E+01,    3.78300E+01
254,    -7.93800E+01,    3.73000E+01
255,    -7.96000E+01,    3.67000E+01
256,    -7.90700E+01,    3.65700E+01
257,    -7.92600E+01,    3.62000E+01
258,    -8.03400E+01,    3.67100E+01
259,    -8.02500E+01,    3.49300E+01
260,    -7.81300E+01,    4.04200E+01
261,    -7.81000E+01,    3.93300E+01
262,    -7.75500E+01,    3.91600E+01
263,    -7.68000E+01,    3.96800E+01
264,    -7.64000E+01,    4.03100E+01
265,    -7.60300E+01,    3.97400E+01
266,    -7.64600E+01,    3.89500E+01
267,    -7.56200E+01,    4.02800E+01
268,    -7.50400E+01,    3.97000E+01
269,    -7.57400E+01,    3.92000E+01
270,    -7.56000E+01,    3.80500E+01
271,    -7.59300E+01,    3.75000E+01
272,    -7.50400E+01,    3.73000E+01
273,    -7.64600E+01,    3.57000E+01
274,    -7.84200E+01,    3.75300E+01
275,    -7.83500E+01,    3.74200E+01
276,    -7.83500E+01,    3.73000E+01
277,    -7.84000E+01,    3.76600E+01
278,    -7.83000E+01,    3.76200E+01
279,    -7.82300E+01,    3.75200E+01
280,    -7.80900E+01,    3.74700E+01
281,    -7.82200E+01,    3.76600E+01
282,    -7.81900E+01,    3.78000E+01
283,    -7.82500E+01,    3.79400E+01
284,    -7.81000E+01,    3.77700E+01
285,    -7.81300E+01,    3.76700E+01
286,    -7.80000E+01,    3.75000E+01
287,    -7.81400E+01,    3.80200E+01
288,    -7.80500E+01,    3.80000E+01
289,    -7.79800E+01,    3.79400E+01
290,    -7.79400E+01,    3.79300E+01
291,    -7.79500E+01,    3.79800E+01
292,    -7.79700E+01,    3.80500E+01
293,    -7.80500E+01,    3.80800E+01
294,    -7.79200E+01,    3.81000E+01
295,    -7.79200E+01,    3.80400E+01
296,    -7.78800E+01,    3.80500E+01
297,    -7.78900E+01,    3.81200E+01
298,    -7.77200E+01,    3.80600E+01
299,    -7.80500E+01,    3.83500E+01
